Phone,State,Area Code,Int'l Plan,VMail Plan,Account Length,VMail Message,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Est Mins,CustServ Actual Mins,CustServ Calls,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,Total Charge,Churn
363-5450,MI,415,0,0,65,0,211.3,162.6,134.7,13.2,33,,3,120,35.92,122,13.82,118,6.06,5,3.56,59.36,0
364-1995,DE,408,0,0,142,0,187,134.6,242.2,7.4,,36,2,133,31.79,74,11.44,127,10.9,5,2,56.13,0
398-1294,ID,415,0,0,119,0,159.1,231.3,143.2,8.8,,76,5,114,27.05,117,19.66,91,6.44,3,2.38,55.53,1
405-7146,WY,415,0,1,97,24,133.2,217.2,70.6,11,27,13,1,135,22.64,58,18.46,79,3.18,3,2.97,47.25,0
413-4957,IA,408,0,0,52,0,191.9,269.8,236.8,7.8,56,46,3,108,32.62,96,22.93,87,10.66,5,2.11,68.32,0
420-5645,IN,408,0,0,60,0,220.6,211.1,249,6.8,25,,1,57,37.5,115,17.94,129,11.21,3,1.84,68.49,0
349-4396,VA,408,0,0,10,0,186.1,190.2,282.8,11.4,31,45,2,112,31.64,66,16.17,57,12.73,6,3.08,63.62,0
404-3211,UT,415,0,0,96,0,160.2,267.5,228.5,9.3,20,40,2,117,27.23,67,22.74,68,10.28,5,2.51,62.76,0
353-3759,WY,415,0,0,87,0,151,219.7,203.9,9.7,55,,,83,25.67,116,18.67,127,9.18,3,2.62,56.14,1
363-5947,IN,408,0,0,81,0,175.5,249.3,270.2,10.2,25,29,1,67,29.84,85,21.19,98,12.16,3,2.75,65.94,0
340-5121,CO,415,0,0,141,0,126.9,180,140.8,8,31,19,1,98,21.57,62,15.3,128,6.34,2,2.16,45.37,0
370-7574,CO,408,0,1,121,30,198.4,75.3,181.2,5.8,,48,,129,33.73,77,6.4,77,8.15,3,1.57,49.85,1
403-9733,WI,415,0,0,68,0,148.8,246.5,129.8,12.1,,47,3,70,25.3,164,20.95,103,5.84,3,3.27,55.36,0
355-7251,OK,408,0,0,125,0,229.3,177.4,189.3,12,36,16,1,103,38.98,126,15.08,95,8.52,8,3.24,65.82,0
359-5893,ID,408,0,0,174,0,192.1,169.9,166.6,11.4,40,14,1,97,32.66,94,14.44,54,7.5,4,3.08,57.68,0
405-3371,CA,415,0,1,116,34,268.6,178.2,166.3,11.6,49,33,2,83,45.66,142,15.15,106,7.48,3,3.13,71.42,0
344-5117,MN,510,0,1,74,33,193.7,246.1,138,14.6,,18,2,91,32.93,96,20.92,92,6.21,3,3.94,64,0
332-8160,SD,408,0,1,149,28,180.7,187.8,265.5,12.6,,42,3,92,30.72,64,15.96,53,11.95,3,3.4,62.03,0
359-4081,NC,408,0,0,38,0,131.2,162.9,159,8.2,34,,2,98,22.3,97,13.85,106,7.15,6,2.21,45.51,0
352-8305,WA,415,0,1,40,41,148.1,169.5,214.1,6.2,45,39,2,74,25.18,88,14.41,102,9.63,5,1.67,50.89,0
329-9847,WY,415,1,0,43,0,251.5,212.8,157.8,9.3,13,28,0,105,42.76,104,18.09,67,7.1,4,2.51,70.46,0
365-9011,MN,408,1,0,113,0,125.2,206.4,129.3,8.3,25,29,0,93,21.28,119,17.54,139,5.82,8,2.24,46.88,0
338-9472,UT,408,0,0,126,0,211.6,216.9,153.5,7.8,15,34,1,70,35.97,80,18.44,60,6.91,1,2.11,63.43,0
374-8042,TX,510,0,0,150,0,178.9,169.1,148.6,13.8,54,62,4,101,30.41,110,14.37,100,6.69,3,3.73,55.2,1
359-1231,NJ,408,0,0,138,0,241.8,170.5,295.3,11.8,33,,3,93,41.11,83,14.49,104,13.29,7,3.19,72.08,0
413-7170,MN,510,0,1,162,46,224.9,188.2,254.6,12.1,28,25,0,97,38.23,84,16,61,11.46,2,3.27,68.96,0
415-2935,NM,510,0,0,147,0,248.6,148.9,172.5,8,47,22,,83,42.26,85,12.66,109,7.76,4,2.16,64.84,0
399-4246,NV,415,0,0,90,0,203.4,226.7,152.4,7.3,34,11,1,146,34.58,117,19.27,105,6.86,4,1.97,62.68,0
362-5889,HI,415,0,0,85,0,235.8,157.2,188.2,12,21,11,0,109,40.09,94,13.36,99,8.47,3,3.24,65.16,0
350-8921,MN,415,0,0,50,0,157.1,223.3,181.4,6.1,22,30,1,90,26.71,72,18.98,111,8.16,2,1.65,55.5,0
374-5353,DC,415,0,0,82,0,300.3,181,270.1,11.7,30,27,0,109,51.05,100,15.39,73,12.15,4,3.16,81.75,1
360-1171,NY,408,0,0,144,0,61.6,77.1,173,8.2,67,47,,117,10.47,85,6.55,99,7.79,7,2.21,27.02,1
355-8887,MN,415,0,0,46,0,214.1,164.4,177.5,8.2,36,17,,72,36.4,104,13.97,113,7.99,3,2.21,60.57,0
333-1967,MD,408,0,0,70,0,170.2,155.2,228.6,15,38,,1,98,28.93,102,13.19,76,10.29,2,4.05,56.46,0
354-4577,WV,415,0,0,144,0,201.1,303.5,224,13.2,18,33,1,99,34.19,74,25.8,119,10.08,2,3.56,73.63,0
331-7425,OR,415,1,0,116,0,215.4,204.8,278.5,12.6,56,43,3,104,36.62,79,17.41,109,12.53,5,3.4,69.96,0
419-2637,CO,408,0,1,55,25,165.6,136.1,175.7,11,59,51,3,123,28.15,95,11.57,90,7.91,2,2.97,50.6,0
411-1530,GA,415,0,1,70,24,249.5,259.7,222.7,9.8,29,26,1,101,42.42,98,22.07,68,10.02,4,2.65,77.16,0
395-3026,TX,510,0,0,106,0,210.6,249.2,191.4,12.4,37,34,2,96,35.8,85,21.18,88,8.61,1,3.35,68.94,1
388-6441,VT,510,0,1,128,29,179.3,225.9,323,8.6,6,0,0,104,30.48,86,19.2,78,14.54,7,2.32,66.54,0
402-1251,IN,408,0,0,94,0,157.9,155,189.6,8,57,43,4,105,26.84,101,13.18,84,8.53,5,2.16,50.71,1
412-9997,WV,510,0,0,111,0,214.3,208.5,182.4,12,25,42,,118,36.43,76,17.72,98,8.21,2,3.24,65.6,0
346-7302,KY,415,0,1,74,35,154.1,123.4,202.1,10.9,40,58,2,104,26.2,84,10.49,57,9.09,9,2.94,48.72,0
358-9095,NJ,415,0,0,128,0,237.9,247.6,208.9,13.9,30,19,1,125,40.44,93,21.05,68,9.4,4,3.75,74.64,1
400-9770,DC,510,0,0,82,0,143.9,194.9,109.6,11.1,30,6,1,61,24.46,105,16.57,94,4.93,2,3,48.96,0
334-1275,LA,415,0,0,155,0,203.4,190.9,196,8.9,,28,0,100,34.58,104,16.23,119,8.82,4,2.4,62.03,1
340-4953,AR,415,0,0,80,0,124.3,173,253.2,7.9,39,34,1,100,21.13,107,14.71,62,11.39,9,2.13,49.36,0
400-9510,ME,415,0,0,78,0,252.9,178.4,263.9,9.5,,,3,93,42.99,112,15.16,105,11.88,7,2.57,72.6,0
387-6103,AZ,415,0,0,90,0,179.1,190.6,127.7,10.6,60,53,,71,30.45,81,16.2,91,5.75,7,2.86,55.26,0
366-4467,AK,408,0,0,104,0,278.4,81,163.2,9.8,15,25,1,106,47.33,113,6.89,137,7.34,5,2.65,64.21,0
370-3450,MT,415,0,0,73,0,160.1,213.3,174.1,13,0,21,,110,27.22,72,18.13,72,7.83,4,3.51,56.69,0
327-3954,AZ,415,0,0,99,0,198.2,207.3,190.9,8.7,,57,4,87,33.69,76,17.62,113,8.59,3,2.35,62.25,0
355-6291,MS,408,0,0,120,0,212.1,209.4,167.2,5.3,15,33,1,131,36.06,104,17.8,96,7.52,5,1.43,62.81,1
362-9748,ID,415,0,0,77,0,251.8,205.7,275.2,9.8,25,31,2,72,42.81,126,17.48,109,12.38,7,2.65,75.32,1
379-6506,IA,510,0,1,98,21,161.2,252.2,160.2,4.4,60,40,4,114,27.4,83,21.44,92,7.21,8,1.19,57.24,0
347-7741,MA,415,0,0,108,0,178.3,189,129.1,14.6,14,13,0,137,30.31,76,16.07,102,5.81,5,3.94,56.13,0
354-3783,VT,415,0,0,135,0,151.7,119,180,10.5,28,11,0,82,25.79,105,10.12,100,8.1,6,2.84,46.85,0
401-7594,KY,408,0,0,95,0,135,183.6,245.3,12.5,31,27,1,99,22.95,106,15.61,102,11.04,9,3.38,52.98,0
397-4976,IN,408,0,0,122,0,170.5,173.7,248.6,11.3,15,20,1,94,28.99,109,14.76,75,11.19,2,3.05,57.99,0
334-2577,AZ,408,0,0,95,0,238.1,187.2,190,11.8,68,58,,65,40.48,98,15.91,115,8.55,4,3.19,68.13,0
400-3637,MI,510,0,1,36,29,281.4,202.2,187.2,9,42,43,,102,47.84,76,17.19,113,8.42,6,2.43,75.88,0
383-4361,NM,510,0,1,93,21,117.9,164.5,217,9.8,30,,1,131,20.04,115,13.98,86,9.76,3,2.65,46.43,0
371-4306,CO,415,0,1,141,32,148.6,131.1,219.4,10.1,,16,1,91,25.26,97,11.14,142,9.87,1,2.73,49,0
403-4298,UT,408,0,0,157,0,229.8,147.9,241.4,9.6,60,42,3,90,39.07,121,12.57,108,10.86,7,2.59,65.09,0
409-3786,MI,408,0,0,120,0,165,317.2,119.2,8.3,36,35,1,100,28.05,83,26.96,86,5.36,8,2.24,62.61,0
337-4697,MA,415,0,0,103,0,185,223.3,222.8,12.6,36,,2,117,31.45,94,18.98,91,10.03,2,3.4,63.86,0
383-1509,AL,408,0,0,98,0,161,190.9,227.7,12.1,46,,4,117,27.37,113,16.23,113,10.25,4,3.27,57.12,0
359-9794,DE,408,0,0,125,0,126.7,206,247.8,13.3,11,24,,108,21.54,90,17.51,114,11.15,7,3.59,53.79,0
407-7035,AZ,415,0,0,63,0,58.9,169.6,211.4,9.4,,,1,125,10.01,59,14.42,88,9.51,3,2.54,36.48,0
363-1069,ME,510,1,1,36,42,196.8,254.9,138.3,20,,19,,89,33.46,122,21.67,126,6.22,6,5.4,66.75,1
391-4652,NJ,510,0,0,64,0,162.6,152.3,57.5,14.2,,30,1,83,27.64,109,12.95,122,2.59,3,3.83,47.01,0
355-6837,NV,415,0,0,74,0,282.5,219.9,170,9.4,27,27,1,114,48.03,48,18.69,115,7.65,4,2.54,76.91,1
409-1244,MO,510,0,1,112,36,113.7,157.5,177.6,10,21,,,117,19.33,82,13.39,118,7.99,3,2.7,43.41,0
328-3266,ID,408,0,0,97,0,239.8,214.8,143.3,8.7,42,36,,125,40.77,111,18.26,81,6.45,5,2.35,67.83,0
352-7072,NE,408,0,0,46,0,210.2,227.3,200.1,13.1,24,26,1,92,35.73,77,19.32,116,9,7,3.54,67.59,0
370-7550,TX,408,0,1,41,22,213.8,141.8,142.2,7.2,25,0,0,102,36.35,86,12.05,123,6.4,3,1.94,56.74,0
369-5526,MD,510,0,0,121,0,190.7,183.5,220.8,9.8,58,48,3,103,32.42,117,15.6,103,9.94,4,2.65,60.61,0
329-4391,MS,415,0,0,193,0,170.9,132.3,112.9,11.6,23,21,1,124,29.05,95,11.25,89,5.08,3,3.13,48.51,0
408-4195,NV,510,0,0,130,0,154.2,110.2,227.4,9.2,35,21,2,119,26.21,98,9.37,117,10.23,5,2.48,48.29,0
354-4445,AZ,408,0,0,85,0,201.4,229.4,252.5,12,35,43,1,52,34.24,104,19.5,106,11.36,3,3.24,68.34,0
335-4858,MS,415,0,0,162,0,70.7,157.5,154.8,9.1,51,39,4,108,12.02,87,13.39,82,6.97,3,2.46,34.84,1
414-8718,MS,510,0,1,61,27,187.5,146.6,225.7,6.4,,,4,124,31.88,103,12.46,129,10.16,6,1.73,56.23,1
409-5939,TX,408,0,0,92,0,91.7,193.7,175,9.2,35,38,2,90,15.59,123,16.46,86,7.88,4,2.48,42.41,0
331-4902,NE,408,0,1,131,36,214.2,161.7,264.7,9.5,50,48,3,115,36.41,117,13.74,102,11.91,4,2.57,64.63,0
353-6870,NE,415,0,0,90,0,145.5,217.7,146.9,10.9,32,60,3,92,24.74,114,18.5,123,6.61,2,2.94,52.79,0
355-2909,CA,408,0,0,75,0,166.3,158.2,256.7,6.1,39,30,1,125,28.27,86,13.45,80,11.55,5,1.65,54.92,0
390-6101,NJ,415,0,0,78,0,231,230.4,261.4,9.5,32,7,1,115,39.27,140,19.58,120,11.76,3,2.57,73.18,0
400-3446,TX,408,0,0,82,0,200.3,201.2,206.1,7.1,44,50,4,96,34.05,102,17.1,60,9.27,1,1.92,62.34,0
411-5859,AR,408,0,0,163,0,197,202.6,206.4,9.1,15,23,1,109,33.49,128,17.22,80,9.29,10,2.46,62.46,0
387-2919,AL,510,1,0,91,0,129.9,173.3,247.2,11.2,38,35,3,112,22.08,83,14.73,130,11.12,3,3.02,50.95,0
374-8525,NY,415,0,1,75,21,175.8,217.5,237.5,5.3,66,67,5,97,29.89,106,18.49,134,10.69,4,1.43,60.5,0
379-5592,FL,510,0,0,91,0,203.1,210.1,195.6,12,,47,3,106,34.53,113,17.86,129,8.8,3,3.24,64.43,0
345-8237,AK,510,0,1,127,36,183.2,126.8,263.3,11.2,28,,1,117,31.14,76,10.78,71,11.85,8,3.02,56.79,0
422-6690,NV,415,0,1,113,23,205,152,158.6,10.2,41,22,2,101,34.85,60,12.92,59,7.14,5,2.75,57.66,0
346-2359,DE,510,0,0,110,0,148.5,276.4,193.6,12.4,28,45,1,115,25.25,84,23.49,112,8.71,3,3.35,60.8,0
374-3534,MD,415,0,1,120,39,200.3,220.4,253.8,10.5,1,29,0,68,34.05,97,18.73,116,11.42,4,2.84,67.04,0
381-4756,MI,415,0,1,157,28,192.6,195.5,109.7,6.8,47,51,3,107,32.74,74,16.62,139,4.94,5,1.84,56.14,0
390-2805,VT,510,0,0,103,0,246.5,195.5,200.5,11.7,31,17,1,47,41.91,84,16.62,96,9.02,4,3.16,70.71,0
390-2390,VT,408,1,0,117,0,167.1,177.5,249.4,14.1,33,24,2,86,28.41,87,15.09,132,11.22,7,3.81,58.53,1
419-9097,MI,415,0,0,140,0,231.9,160.1,110.4,14.3,34,35,3,101,39.42,94,13.61,98,4.97,6,3.86,61.86,0
386-7281,WA,408,0,0,127,0,146.7,203.5,203.4,13.7,,24,1,91,24.94,78,17.3,110,9.15,3,3.7,55.09,0
380-3561,UT,408,1,0,83,0,271.5,216.3,121.1,11.7,22,22,1,87,46.16,126,18.39,105,5.45,4,3.16,73.16,0
390-8760,LA,408,0,0,121,0,181.5,218.4,161.6,8.5,32,32,,121,30.86,98,18.56,103,7.27,5,2.3,58.99,0
366-6730,RI,408,0,1,145,43,257.7,162.1,286.9,11.1,45,26,2,97,43.81,95,13.78,86,12.91,4,3,73.5,0
395-5285,IA,408,0,0,113,0,193.8,221.4,172.3,10.6,27,17,1,99,32.95,125,18.82,67,7.75,6,2.86,62.38,0
354-3436,NE,415,0,0,117,0,102.8,206.7,299,10.1,29,,,119,17.48,91,17.57,105,13.46,7,2.73,51.24,0
336-7600,OH,408,0,0,65,0,187.9,157.6,227.3,7.5,37,34,1,116,31.94,117,13.4,86,10.23,6,2.03,57.6,0
383-6293,RI,415,0,0,56,0,226,248.5,140.5,6.9,,25,,112,38.42,118,21.12,142,6.32,11,1.86,67.72,0
362-4596,OK,415,0,0,96,0,260.4,146,269.5,11.5,78,70,5,115,44.27,46,12.41,87,12.13,4,3.11,71.92,0
401-3926,LA,408,0,0,151,0,178.7,292.1,265.9,9.8,,29,,116,30.38,138,24.83,101,11.97,4,2.65,69.83,0
370-9116,OH,415,0,0,83,0,337.4,227.4,153.9,15.8,30,0,0,120,57.36,116,19.33,114,6.93,7,4.27,87.89,1
328-6289,VA,510,0,1,139,23,157.6,247,259.2,13.7,5,17,0,129,26.79,96,21,112,11.66,2,3.7,63.15,0
350-9994,MO,510,0,0,6,0,183.6,256.7,178.6,10.2,15,,1,117,31.21,72,21.82,79,8.04,2,2.75,63.82,0
351-4616,FL,510,0,1,115,24,142.1,183.4,164.8,9.6,12,18,1,124,24.16,129,15.59,114,7.42,4,2.59,49.76,0
360-5779,SC,415,0,0,87,0,136.3,172.2,137.5,7.1,,14,0,97,23.17,108,14.64,101,6.19,5,1.92,45.92,0
417-4885,VA,415,0,0,141,0,217.1,241.5,253.5,12,28,18,,110,36.91,111,20.53,103,11.41,6,3.24,72.09,0
406-4710,IA,510,0,1,141,36,187.5,241.4,229.5,10.5,34,30,3,99,31.88,116,20.52,105,10.33,5,2.84,65.57,0
409-8743,MI,415,0,0,62,0,98.9,135.4,236.6,12.2,15,42,1,103,16.81,122,11.51,82,10.65,1,3.29,42.26,0
335-4584,OK,415,0,0,146,0,206.3,148.6,167.2,6.1,15,,1,151,35.07,89,12.63,91,7.52,3,1.65,56.87,0
361-9845,DE,415,0,1,92,33,243.1,213.8,228.7,12.1,42,55,2,92,41.33,92,18.17,104,10.29,2,3.27,73.06,0
366-5699,GA,510,0,1,185,31,189.8,163.3,264.8,7.5,27,30,1,126,32.27,133,13.88,126,11.92,3,2.03,60.1,0
329-9364,DC,415,0,0,148,0,202,243.2,261.3,10.9,38,5,1,102,34.34,128,20.67,90,11.76,3,2.94,69.71,0
390-7434,AZ,408,0,1,94,38,170.1,193.3,105.9,12.8,21,23,1,124,28.92,116,16.43,73,4.77,4,3.46,53.58,0
404-9680,AL,510,0,0,32,0,230.9,187.4,154,6.3,11,16,0,87,39.25,90,15.93,53,6.93,2,1.7,63.81,0
338-9398,CO,408,0,0,68,0,237.1,223.5,97.4,13.2,30,19,1,105,40.31,105,19,79,4.38,2,3.56,67.25,0
394-2445,NH,408,0,1,64,27,182.1,169.7,164.7,10.6,44,46,2,91,30.96,98,14.42,86,7.41,5,2.86,55.65,0
381-2709,NM,415,0,0,25,0,119.3,211.5,268.9,10.5,54,32,3,87,20.28,101,17.98,86,12.1,4,2.84,53.2,0
397-5060,OR,415,0,0,65,0,116.8,178.9,182.4,14.1,25,,,87,19.86,93,15.21,150,8.21,2,3.81,47.09,0
415-2393,LA,408,0,0,179,0,219.2,149.4,244.7,6.1,4,26,0,92,37.26,125,12.7,104,11.01,5,1.65,62.62,0
377-1765,NE,415,0,0,94,0,252.6,169,170.9,11.1,28,41,2,104,42.94,125,14.37,106,7.69,7,3,68,0
409-2111,MN,415,0,0,62,0,147.1,190.4,195.2,12.2,7,29,0,91,25.01,107,16.18,115,8.78,3,3.29,53.26,0
401-3170,MI,415,0,0,127,0,202.1,229.4,195.2,11.5,,,2,103,34.36,86,19.5,113,8.78,3,3.11,65.75,0
405-5681,AR,408,0,0,116,0,173.5,194.1,208,16.2,50,53,3,93,29.5,76,16.5,112,9.36,10,4.37,59.73,0
411-4582,KS,408,0,0,70,0,232.1,292.3,201.2,0,44,45,3,122,39.46,112,24.85,112,9.05,0,0,73.36,0
355-5009,WV,510,1,1,94,23,197.1,214.5,282.2,9.5,,63,4,125,33.51,136,18.23,103,12.7,5,2.57,67.01,0
372-3750,AK,415,0,0,126,0,58.2,138.7,136.8,11.9,77,68,5,94,9.89,118,11.79,91,6.16,1,3.21,31.05,1
405-2888,NY,408,0,1,67,36,115.6,237.7,169.9,9.9,,27,2,111,19.65,94,20.2,103,7.65,12,2.67,50.17,0
361-3337,NH,408,0,0,19,0,186.1,254.3,214,14.6,,,2,98,31.64,57,21.62,127,9.63,7,3.94,66.83,0
350-1639,VA,510,1,0,170,0,259.9,245,134.4,8.4,30,,,68,44.18,122,20.83,121,6.05,3,2.27,73.33,0
333-3221,NM,415,0,0,73,0,214.3,268.5,241.2,10.8,18,33,1,145,36.43,135,22.82,92,10.85,13,2.92,73.02,0
422-1471,NY,408,0,0,106,0,158.7,64.3,198.5,10.2,,39,1,74,26.98,139,5.47,103,8.93,4,2.75,44.13,0
399-7865,AZ,415,0,0,93,0,271.6,229.4,77.3,10.9,50,34,2,71,46.17,108,19.5,121,3.48,3,2.94,72.09,0
373-4819,WY,510,0,0,164,0,160.6,163.2,187.1,9,27,29,1,111,27.3,126,13.87,112,8.42,3,2.43,52.02,0
338-6981,WA,408,0,0,51,0,232.4,187.4,231.2,9.1,27,16,,109,39.51,95,15.93,107,10.4,3,2.46,68.3,0
418-4365,CO,415,0,0,107,0,133.8,180.5,112.2,8.9,22,0,,85,22.75,94,15.34,115,5.05,4,2.4,45.54,0
359-5461,TX,415,0,0,130,0,176.9,90.7,238,9.5,37,28,1,109,30.07,104,7.71,69,10.71,2,2.57,51.06,0
375-3586,KY,408,0,0,80,0,209.9,195.1,208.2,8.8,,37,2,74,35.68,77,16.58,119,9.37,4,2.38,64.01,0
407-8376,MT,415,0,0,94,0,137.5,203.2,150,13.4,,0,0,118,23.38,88,17.27,131,6.75,2,3.62,51.02,0
408-6496,OK,408,0,1,118,23,289.5,166.6,119.1,9.5,28,22,1,52,49.22,111,14.16,88,5.36,4,2.57,71.31,0
385-7688,MD,415,0,1,117,23,198.1,177,180.5,6.8,39,29,1,86,33.68,86,15.05,92,8.12,6,1.84,58.69,0
332-6934,TN,415,0,0,78,0,149.7,182.2,261.5,9.7,21,9,0,119,25.45,115,15.49,126,11.77,8,2.62,55.33,0
378-3625,TX,510,0,0,208,0,326.5,176.3,181.7,10.7,47,27,2,67,55.51,113,14.99,102,8.18,6,2.89,81.57,1
353-7292,ME,510,1,1,131,26,292.9,199.7,255.3,13.8,59,57,4,101,49.79,97,16.97,127,11.49,7,3.73,81.98,1
